【周度线索池】
级别,院校,省份,层次,院系,触发事件,新设专业,预算,截止日期,开口话术,原文链接
关注,金华职业技术大学,浙江,高职,商学院,浙江金华阳光招标代理有限公司关于金华职业技术大学虚拟仿真实训基地管理平台设备采购项目中标(成交)结果公告,,,,商学院负责人，关注到贵校“浙江金华阳光招标代理有限公司关于金华职业技术大学虚拟仿真实训基地管理平台设备采购项目中标(成交)结果公告”项目，我们的商科实训平台与该需求高度匹配，已有同类院校落地案例，距—截止还有时间，方便安排一次交流吗？,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202609/t20260901_27239652.htm

【本周新增信号】
首次发现,数据源,信号类型,标题,院校,原文链接
2026-09-01,教育部-政策文件库,majorMove,教育部高等教育司关于开展2025年度普通高等学校本科专业设置工作的通知,,http://www.moe.gov.cn/s78/A08/tongzhi/202506/t20250630_1196068.html
2026-09-01,中国政府采购网-招标检索,bid,浙江金华阳光招标代理有限公司关于金华职业技术大学虚拟仿真实训基地管理平台设备采购项目中标(成交)结果公告,金华职业技术大学,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202609/t20260901_27239652.htm
2026-09-01,中国政府采购网-招标检索,bid,西安医学院购置数字化解剖虚拟仿真教学系统采购项目(二次)招标公告,,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/202608/t20260831_27238628.htm
2026-09-01,中国政府采购网-招标检索,bid,天津职业技术师范大学 低空物流场景虚拟仿真系统 (项目编号:KQZX-2026-103)中标公告,,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202608/t20260831_27238407.htm
2026-09-01,中国政府采购网-招标检索,bid,数智商贸与先进制造虚拟仿真实训基地（惠州城市职业学院数智制造与商贸虚拟仿真工程技术中心）结果公告,,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202608/t20260831_27237527.htm
2026-09-01,中国政府采购网-招标检索,bid,泉州技师学院虚拟仿真图形工作站(二次)结果公告（采购包1）,,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202608/t20260831_27236277.htm
2026-09-01,中国政府采购网-招标检索,bid,达州中医药职业学院省高级技能培训基地“护理康养虚拟仿真实训中心”设备采购项目中标（成交）结果公告,,http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202608/t20260831_27235171.htm
2026-09-01,中国政府采购网-招标检索,bid,吉林省初晓工程项目管理咨询有限公司关于建筑智能化系统安装与调试虚拟仿真项目的竞争性谈判公告,,http://www.ccgp.gov.cn/cggg/dfgg/jzxtpgg/202608/t20260831_27234873.htm
2026-09-01,中国政府采购网-招标检索,bid,西安外国语大学卓越教师虚拟仿真实践教学设备采购项目(二次)中标（成交）结果公告,,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202608/t20260831_27232285.htm
2026-09-01,中国政府采购网-招标检索,bid,虚拟仿真实训中心建设及课程服务采购设备购置费的中标（成交）结果公告,,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202608/t20260829_27230173.htm
2026-09-01,中国政府采购网-招标检索,bid,喀什边境管理支队沙盘制作及维修采购项目终止公告,,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/202608/t20260829_27231395.htm
2026-09-01,中国政府采购网-招标检索,bid,（不见面开标）竞争性磋商：铜陵学院财经实训大楼C楼1-3层科研实验室改造项目竞争性磋商公告,,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/202608/t20260829_27230716.htm
